Image,Object type,Museum number,Title,Denomination,Escapement,Description,Producer name,School/style,State,Authority,Ethnic name (made by),Ethnic name (assoc),Culture,Production date,Production place,Find spot,Materials,Ware,Type series,Technique,Dimensions,Inscription,Curators Comments,Bib references,Location,Exhibition history,Condition,Subjects,Assoc name,Assoc place,Assoc events,Assoc titles,Acq name (acq),Acq name (finding),Acq name (excavator),Acq name (previous),Acq date,Acq notes (acq),Acq notes (exc),Dept,BM/Big number,Reg number,Add ids,Cat no,Banknote serial number,Joined objects
,artefact; calendar; game-board,"No: 1980,1214.14605",,,,"Bone artefact (calendar? or game-board?): flat rectangular shape, divided into three vertical columns by pairs of incised lines, each column has row of ten cylindrical perforations (diameter 3mm) - 30 holes in all, flat semi-circular projection at one end with suspension hole.",,,,,,,Iron Age,,,Excavated/Findspot: Lachish,bone,,,incised,Length: 6.90 centimetres; Thickness: 0.30 centimetres; Width: 2.90 centimetres,,,L.III / Lachish III: The Iron Age,Not on display,,"complete, slightly cracked in places, some incrustation; cleaned in Organics conservation June-July 2000.",,,,,,"Purchased from: Institute of Archaeology, London",,,,1980,From the Wellcome-Marston expedition of 1932-1938.,,Middle East,,"1980,1214.14605",Miscellaneous number: FN.3565,,
,artefact; calendar; game-board,"No: 1980,1214.14609",,,,"Bone artefact (calendar? or game board?): flat originally rectangular? shape, divided into three vertical columns by pairs of incised lines - only part of two columns preserved, nine cylindrical perforations preserved, flat semi-circular projection at one end with suspension hole.",,,,,,,Iron Age,,,Excavated/Findspot: Lachish,bone,,,incised,"Thickness: 0.30 - 0.40 centimetres; Length: 3.20 centimetres preserved ; Width: 1.80 centimetres preserved ",,,L.III / Lachish III: The Iron Age,Not on display,,"incomplete, about 2/3 of object missing, a little dirt incrustation.",,,,,,"Purchased from: Institute of Archaeology, London",,,,1980,From the Wellcome-Marston expedition of 1932-1938.,,Middle East,,"1980,1214.14609",Miscellaneous number: FN.1448,,
,backgammon-board,"No: 2008,6028.1",,,,Wooden game-board for backgammon; burnt and chip-carved decoration; metal hinges made from re-used cans; Russian inscription in Cyrillic script.,,,,,,,,20thC,Made in: Turkmenistan,Found/Acquired: Bayram-Ali,wood; metal,,,carved,"Length: 68 centimetres; Weight: 2.42 kilograms; Thickness: 2 centimetres opened ; Width: 25 centimetres folded ; Width: 50.40 centimetres open ","Inscription type: inscription Inscription language: Russian Inscription script: Cyrillic Inscription translation: in memory [of my] brother Andrew, from Turkmenistan Inscription note: three minor grammatical errors","This type of object is typical of prison workshops in the Former Soviet Union, others categories including wooden pipes and decorative ashtrays made from recycled tin cans. The gaming-board in question was purchased from a relative of the person named in the inscription.",,Not on display,,Fair; purchased almost as new.,,,,,,Donated by: Dr St John Simpson,,,,2008,"Purchased by the donor for 25,000 manats [then equivalent to US $4.00] from a Russian woman in Bayram Ali Sunday bazaar situated in the ruins of the site of Abdullah Khan Kala, Turkmenistan, on 18 October 1998.",,Middle East,,"2008,6028.1",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_11/6_13/35f9270c_8de0_47ac_a3b7_a3db00df989e/preview_01240122_001.jpg,backgammon-board; chess-board,"No: 2008,6029.1.a-b",,,,"Carved wooden game-board for backgammon with second board for chess on the reverse; metal hinges; face decorated with scene of a horse-drawn carriage processing in front of the so-called ""Maiden Tower"" at Baku; decoration in the centre, repeated on each side but reversed to face the different players, of an embracing couple in 18thC or 19thC dress and enclosed within a decorative floral medallion; separate bag containing gaming-pieces (b).",,,,,,,,20thC,Made in: Azerbaijan,,wood; metal,,,carved,"Length: 47.60 centimetres; Weight: 1.452 kilograms; Thickness: 2 centimetres opened ; Width: 24.50 centimetres folded ; Width: 49.30 centimetres open ",,"The decoration on the face evokes life in Baku in the 19th century when it was part of Russia, whereas the medallions within are in Iranian style.",,On display (G42/dc12),,Fair; new,,,Topographic representation of: Maiden Tower,,,Donated by: Yusif Baghirzade,,,,2008,,,Middle East,,"2008,6029.1.a-b",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/13_13/84871079_e746_4db9_9c69_a3c300dd90d7/preview_00803966_001.jpg,backgammon-board,"No: 2004,0609.1",,,,"Small-scale backgammon board made of black and gold lacquered wood, decorated with scrolling plants and the crest (mon) of the Asano family. With metal handle at each end.",,,,,,,,19thC,Made in: Japan,,wood; lacquer; metal,,,lacquered,Height: 6.50 centimetres; Length: 13.50 centimetres,,,,Not on display,"Exhibited: 
2005 22 Jan-16 Jun, Wallsend, Segedunum Roman Fort, Baths and Museum, Across the Board 
2005 23 Jul-17 Sep, Exeter, Royal Albert Memorial Museum, Across the Board 
2005 1 Oct-31 Dec, Gosport, Discovery Centre, Across the Board 
2006 28 Jan-1 May, Leicester, New Walk Museum & Gallery, Across the Board 
2006 26 May-3 Sep, Lincoln, City and County Museum, Across the Board 
2006-2007 23 Sep-21 Jan, Luton Museum,  Across the Board",,heraldry,,,,,Purchased from: A R Reeves,,,,2004,,,Asia,,"2004,0609.1",,,
,base; game-board,"No: 1880,0719.219",,,,"Part of a game-board? Pedestal of bull, 4 lines of inscription, granite.",,,,,,,,,,Excavated/Findspot: Kouyunjik,granite,,,,Length: 6.35 centimetres; Width: 4.44 centimetres,Inscription type: inscription,,Bezold 1896a / Catalogue of the cuneiform tablets in the Kouyunjik Collection of the British Museum,Not on display,,,cattle,,,,,,,,,,,,Middle East,,"1880,0719.219",Miscellaneous number: 388 (Rassam Inventory number),,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/2_14/58f4b615_c04a_473b_860b_a3b800ee2eb0/preview_01357525_001.jpg,betel-box; mould; game-board,"No: As1893,1123.65",,,,"Betel-box (with lid), two-part mould (?), gameboard (?) made of wood.",,,,,,,,,,Found/Acquired: Maldives,wood,,,,Height: 8.10 centimetres; Weight: 1.21 kilograms; Width: 38.40 centimetres; Depth: 11.70 centimetres,,"Asia Floor Card ""[mould] or [game-board]"".",,Not on display,,,,,,,,Purchased from: Mr P E Radley,,,,1893,,,Asia,,"As1893,1123.65","CDMS number: As1893C1123.65 (old CDMS no.); Miscellaneous number: As1972,Q.3054",,
,brick; game-board,"No: 1919,1011.2816",,,,Fragment of fired clay brick; yellow; one side scored with cross-hatching for a game-board.,,,,,,,,,Made in: Iraq,Excavated/Findspot: Ur (city - archaic) (?),fired clay,,,incised,Length: 7.25 inches; Width: 6.25 inches,,,,Not on display,,,,,,,,,,,,1919,,,Middle East,,"1919,1011.2816",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/10_11/037fea50_2aca_4973_a371_a3c000b94a14/preview_00548012_001.jpg,brick; game-board,"No: 1983,0101.376",,,,Fired clay brick modified for use as a game-board with carefully incised boards on the upper surface; incomplete.,,,,,,,Mesopotamian,,,"Excavated/Findspot: Iraq, South (?)",fired clay,,,incised,"Length: 25 centimetres incomplete ; Thickness: 8 centimetres; Width: 18 centimetres incomplete ",,"Old paper label, measuring ca 8.5 x 5.7 cm. across, attached to one side, but writing now faded.","Marseille 1991 / Jouer dans l'Antiquite (reg. number given in error as 1913-11-1,376)",On display (G1/wp71/sh7),"Exhibited:
2003- Nov-, BM, G1/Enlightenment gallery",Abraded surfaces and edges,,,,,,,,,,,Previously unregistered find from 19thC or early 20thC old collection acquired in Iraq and almost certainly southern Iraq. Previously stated as possibly coming from Eridu (Marseille 1991) but this is uncertain.,,Middle East,,"1983,0101.376","Miscellaneous number: 1913,1101.376 (incorrect number in literature)",,
https://media.britishmuseum.org/media/Repository/Documents/2014_11/12_15/b1fb94e6_406c_42db_9379_a3e100f93d20/preview_00108043_001.jpg,card; game-board,"No: Am1988,08.366.a-b",,,,"Card; made of paper; two sets sealed in plastic bags; each card has squares printed with images inside (such as devil, mermaid, barrel, hero, Death, flag, clown, horse, rooster)",,,,,,,,1980s,Retailed in: Papantla,,paper; plastic,,,printed,Height: 12 centimetres; Width: 9 centimetres,,"Cards are used for playing Mexican lottery (La Loteria in Spanish); game is similar to bingo, where someone calls out name of image, and player must cover all images on card to win.",,Not on display,,,gambling/gaming,,,,,,,,,1988,,,"Africa, Oceania and the Americas",,"Am1988,08.366.a-b",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/5_4/f6140e34_502d_4d02_89dc_a3bb0046f2ce/preview_00298530_001.jpg,case; dice; game-board; game-piece; draughts-board; draughts-piece; backgammon-board; backgammon-piece,"No: 1896,0209.3",,,,"Case; stamped leather; decorated with gilt thistles and geometric designs; opens in four leaves, forming boards for backgammon, checquers etc; hinged mirror opposite spinning pointer on dicing chance dial decorated with scene with actors(?); 26 small pierced ivory gaming-counter and two dice.",,,,,,,,18thC,Made in: Germany,,leather; ivory; gold,,,gilded; stamped; pierced,Length: 10.70 centimetres; Width: 11.60 centimetres,,,,Not on display,"Exhibited:
1991 BM, G88, 'Board Games Across the World'",,actor/actress; plant,,,,,Purchased through: Lady Charlotte Schreiber (Executors of),,,,1896,,,"Britain, Europe and Prehistory",,"1896,0209.3",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_9/30_15/b9eebba9_ad9b_4ebf_9aaf_a3b601011305/preview_00019336_001.jpg,changgi-set; changgi-board; changgi-piece,"No: 1991,1231.2",,,,"Changgi. Korean chess game comprising board and thirty-two pieces, and a string bag to store the counters. Made of wood and textile.",,,,,,,Joseon Dynasty,late 19thC-early 20thC,,Found/Acquired: Korea,wood; textile,,,,"Height: 14.500 centimetres board ; Length: 45 centimetres board ; Width: 53.20 centimetres board ",,"2016 National Research Institute of Cultural Heritage catalogue entries:
'Janggi, sometimes called Korean chess, is a traditional strategic board game symbolically representing a battle between the Chinese states of Han (漢) and Chu (楚). To play the game, each player starts with sixteen pieces standing for a general, guards, horses, elephants, chariots, cannons, and soldiers. This board was made with several wooden blocks joined to each other to make four legs, and covered with three wooden plates fixed with two wooden nails on each side. Four of the pieces (one guard and three soldiers) are unlabeled, as the originals have been lost. The bag for holding the pieces is woven with hemp thread.'
'장기는 각 진영이 말을 움직여 상대편 진영을 공격하여 장군을 먼저 잡는 것으로 승부를 정하는 진법陣法놀이이다. 이 장기판은 사개물린 다리 위에 3쪽의 널을 이어 붙인 판을 대고 각 널에 2개씩의 굵은 나무못을 박아 고정하였다. 다리에는 박쥐풍혈을 하였다. 좌우의 서랍 뒷면 바닥에는 소유자의 이름으로 보이는 ‘이강윤李康允’이라는 묵서가 있다. 말은 두께가 조금씩 다르며 글자는 양각하였다. 말은 총 32개로 각 진영마다 각 16개가 있으나 사士 하나, 졸卒 3개가 분실되어 나중에 글씨 없는 말 4개가 추가된 것으로 보인다. 말을 담아 둔 망태는 삼실을 엮어 짠 것이다.'",National Research Institute of Cultural Heritage 2016 / Korean Collections at the British Museum; 국립문화재연구소 2016 / 영국박물관 소장 한국문화재,Not on display,"Exhibited: 
2005 22 Jan-16 Jun, Wallsend, Segedunum Roman Fort, Baths and Museum, Across the Board 
2005 23 Jul-17 Sep, Exeter, Royal Albert Memorial Museum, Across the Board 
2005 1 Oct-31 Dec, Gosport, Discovery Centre, Across the Board 
2006 28 Jan-1 May, Leicester, New Walk Museum & Gallery, Across the Board 
2006 26 May-3 Sep, Lincoln, City and County Museum, Across the Board 
2006-2007 23 Sep-21 Jan, Luton Museum, Across the Board",,,,,,,Purchased from: Mrs Yi Dooyoung,,,,1991,,,Asia,,"1991,1231.2",,,
,chess-board,"No: 1998,0220.5",,,,Cloth chess-board.,,,,,,,,20thC (mid),Made in: China,,textile,,,,Length: 37 centimetres; Width: 57 centimetres,,,,Not on display,"Exhibited: 
2005 22 Jan-16 Jun, Wallsend, Segedunum Roman Fort, Baths and Museum, Across the Board 
2005 23 Jul-17 Sep, Exeter, Royal Albert Memorial Museum, Across the Board 
2005 1 Oct-31 Dec, Gosport, Discovery Centre, Across the Board 
2006 28 Jan-1 May, Leicester, New Walk Museum & Gallery, Across the Board 
2006 26 May-3 Sep, Lincoln, City and County Museum, Across the Board 
2006-2007 23 Sep-21 Jan, Luton Museum, Across the Board",,,,,,,Purchased from: Ms Jehanne de Biolley,Funded by: British Museum Friends (as British Museum Society),,,1998,,,Asia,,"1998,0220.5",,,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/2_14/1fe886b3_5a3c_4d14_8309_a3b800eec5b1/preview_01357672_001.jpg,chess-board,"No: As1893,1123.99.a",,,,Chess board made of wood.,,,,,,,,,,Found/Acquired: Maldives,wood,,,,Height: 10.50 centimetres; Weight: 4.92 kilograms; Width: 73 centimetres; Depth: 51 centimetres,,,,Not on display,,,,,,,,Purchased from: Mr P E Radley,,,,1893,,,Asia,,"As1893,1123.99.a","CDMS number: As1893C1123.99a (old CDMS no.); Miscellaneous number: As1972,Q.2692",,
https://media.britishmuseum.org/media/Repository/Documents/2014_10/3_6/3ec9c64f_8a5b_40db_a83a_a3b900684b7e/preview_00344333_001.jpg,chess-board; chess-piece,"No: Af1926,0414.4-36",,,,"Chess board (4) made of leather, with squares in natural and red-dyed. Sixteen wooden chess pieces stained black comprising: King (5) with white cotton cloth around neck; Queen (6); two Castles (7-8); two Bishops (9-10); two Knights (11-12); eight Pawns (13-20). Sixteen unstained wooden chess pieces comprising: King (21) with white cotton cloth around neck;  Queen (22); two Bishops (23-24); two Knights (25-26); two Castles (27-28); eight Pawns (29-36).",,,,,Kanuri,Associated with: Arab (in the style of),,20thC(early) (before 1926),Made in: Africa,Found/Acquired: Borno State,leather; wood; cotton,,,dyed; stained,"Height: 11.60 centimetres (10) ; Height: 12.60 centimetres (11) ; Height: 12.30 centimetres (12) ; Height: 3.10 centimetres (13) ; Height: 3.10 centimetres (14) ; Height: 2.80 centimetres (15) ; Height: 1.70 centimetres (16) ; Height: 3.40 centimetres (17) ; Height: 2.50 centimetres (18) ; Height: 2.50 centimetres (19) ; Height: 2.10 centimetres (20) ; Height: 16 centimetres (21) ; Height: 15.70 centimetres (22) ; Height: 12.40 centimetres (23) ; Height: 12.50 centimetres (24) ; Height: 12.70 centimetres (25) ; Height: 12.30 centimetres (26) ; Height: 11.60 centimetres (27) ; Height: 11.80 centimetres (28) ; Height: 2.50 centimetres (29) ; Height: 2.20 centimetres (30) ; Height: 2.10 centimetres (31) ; Height: 1.80 centimetres (32) ; Height: 1.90 centimetres (33) ; Height: 1.60 centimetres (34) ; Height: 1.70 centimetres (35) ; Height: 1.70 centimetres (36) ; Height: 42 centimetres (4) ; Height: 14.70 centimetres (5) ; Height: 14.40 centimetres (6) ; Height: 11.90 centimetres (7) ; Height: 11.50 centimetres (8) ; Height: 12.70 centimetres (9) ; Width: 3.60 centimetres (10) ; Width: 3.90 centimetres (11) ; Width: 3.60 centimetres (12) ; Width: 2.70 centimetres (13) ; Width: 2.50 centimetres (14) ; Width: 2.60 centimetres (15) ; Width: 2.90 centimetres (16) ; Width: 2.60 centimetres (17) ; Width: 3.10 centimetres (18) ; Width: 2.80 centimetres (19) ; Width: 2.90 centimetres (20) ; Width: 4.40 centimetres (21) ; Width: 4.20 centimetres (22) ; Width: 4.40 centimetres (23) ; Width: 4.60 centimetres (24) ; Width: 4.20 centimetres (25) ; Width: 4 centimetres (26) ; Width: 4.50 centimetres (27) ; Width: 4.20 centimetres (28) ; Width: 3 centimetres (29) ; Width: 2.80 centimetres (30) ; Width: 3 centimetres (31) ; Width: 3 centimetres (32) ; Width: 3.20 centimetres (33) ; Width: 3.50 centimetres (34) ; Width: 3 centimetres (35) ; Width: 3.50 centimetres (36) ; Width: 42.60 centimetres (4) ; Width: 4.30 centimetres (5) ; Width: 4.30 centimetres (6) ; Width: 4.20 centimetres (7) ; Width: 4.20 centimetres (8) ; Width: 4.30 centimetres (9) ; Depth: 3.80 centimetres (10) ; Depth: 4.50 centimetres (11) ; Depth: 3.80 centimetres (12) ; Depth: 2.20 centimetres (13) ; Depth: 2.20 centimetres (14) ; Depth: 2.20 centimetres (15) ; Depth: 3.10 centimetres (16) ; Depth: 2.20 centimetres (17) ; Depth: 2.80 centimetres (18) ; Depth: 2.30 centimetres (19) ; Depth: 2.50 centimetres (20) ; Depth: 4.30 centimetres (21) ; Depth: 4.20 centimetres (22) ; Depth: 4.40 centimetres (23) ; Depth: 4.60 centimetres (24) ; Depth: 4.80 centimetres (25) ; Depth: 4.80 centimetres (26) ; Depth: 4.50 centimetres (27) ; Depth: 4.20 centimetres (28) ; Depth: 2.30 centimetres (29) ; Depth: 2.30 centimetres (30) ; Depth: 2.20 centimetres (31) ; Depth: 2.30 centimetres (32) ; Depth: 3.20 centimetres (33) ; Depth: 3.20 centimetres (34) ; Depth: 2.30 centimetres (35) ; Depth: 3.40 centimetres (36) ; Depth: 1.90 centimetres (4) ; Depth: 4.40 centimetres (5) ; Depth: 4.30 centimetres (6) ; Depth: 4.20 centimetres (7) ; Depth: 3.80 centimetres (8) ; Depth: 4.40 centimetres (9) ",,"Chess set
Bornu, Nigeria, about 1920
Af1926,0414.4-36
This Nigerian chess set was made comparatively recently, but preserves many features of the game as it was played in the Islamic world, including pieces’ shapes and rules. These rules were quite different from those of today – the queen, for example, was much less powerful. The pieces, although stylised, are still recognisable as figures on the battlefield that the game represents.",,On display (G42/dc12),,,,,,,,Purchased from: C K Meek,,,,1926,,,"Africa, Oceania and the Americas",,"Af1926,0414.4-36",,,
